Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 296, Loss: 0.4712, Accuracy: 0.8888, Time: 16.57s
Epoch 297, Loss: 0.4155, Accuracy: 0.9031, Time: 16.50s
Epoch 298, Loss: 0.3887, Accuracy: 0.9114, Time: 16.57s
Epoch 299, Loss: 0.4069, Accuracy: 0.9073, Time: 16.50s
Epoch 300, Loss: 0.3962, Accuracy: 0.9111, Time: 16.51s
Epoch 301, Loss: 0.4303, Accuracy: 0.9025, Time: 16.56s
Epoch 302, Loss: 0.4215, Accuracy: 0.9035, Time: 16.53s
Epoch 303, Loss: 0.3913, Accuracy: 0.9110, Time: 16.40s
Epoch 304, Loss: 0.4061, Accuracy: 0.9057, Time: 16.58s
Epoch 305, Loss: 0.3942, Accuracy: 0.9109, Time: 16.55s
Epoch 306, Loss: 0.4274, Accuracy: 0.9020, Time: 16.55s
Epoch 307, Loss: 0.4135, Accuracy: 0.9121, Time: 16.67s
Epoch 308, Loss: 0.4216, Accuracy: 0.8987, Time: 16.59s
Epoch 309, Loss: 0.3885, Accuracy: 0.9112, Time: 16.62s
Epoch 310, Loss: 0.3767, Accuracy: 0.9116, Time: 16.56s
Epoch 311, Loss: 0.3859, Accuracy: 0.9123, Time: 16.49s
Epoch 312, Loss: 0.3971, Accuracy: 0.9134, Time: 16.44s
Epoch 313, Loss: 0.3639, Accuracy: 0.9173, Time: 16.42s
Epoch 314, Loss: 0.3943, Accuracy: 0.9109, Time: 16.60s
Epoch 315, Loss: 0.3907, Accuracy: 0.9116, Time: 16.50s
Epoch 316, Loss: 0.3621, Accuracy: 0.9176, Time: 16.44s
Epoch 317, Loss: 0.3973, Accuracy: 0.9062, Time: 16.57s
Epoch 318, Loss: 0.3964, Accuracy: 0.9105, Time: 16.54s
Epoch 319, Loss: 0.3937, Accuracy: 0.9081, Time: 16.60s
Epoch 320, Loss: 0.3982, Accuracy: 0.9082, Time: 16.57s
Epoch 321, Loss: 0.3989, Accuracy: 0.9073, Time: 16.61s
Epoch 322, Loss: 0.3692, Accuracy: 0.9128, Time: 16.66s
Epoch 323, Loss: 0.3603, Accuracy: 0.9208, Time: 16.59s
Epoch 324, Loss: 0.3739, Accuracy: 0.9129, Time: 16.48s
Epoch 325, Loss: 0.3985, Accuracy: 0.9112, Time: 16.55s
Epoch 326, Loss: 0.3951, Accuracy: 0.9074, Time: 16.71s
Epoch 327, Loss: 0.3671, Accuracy: 0.9158, Time: 16.53s
Epoch 328, Loss: 0.3965, Accuracy: 0.9105, Time: 16.60s
Epoch 329, Loss: 0.3658, Accuracy: 0.9172, Time: 16.50s
Epoch 330, Loss: 0.3985, Accuracy: 0.9050, Time: 16.64s
Epoch 331, Loss: 0.3503, Accuracy: 0.9194, Time: 16.56s
Epoch 332, Loss: 0.3567, Accuracy: 0.9156, Time: 16.42s
Epoch 333, Loss: 0.3527, Accuracy: 0.9203, Time: 16.58s
Epoch 334, Loss: 0.4060, Accuracy: 0.9052, Time: 16.54s
Epoch 335, Loss: 0.3774, Accuracy: 0.9126, Time: 16.52s
Epoch 336, Loss: 0.3757, Accuracy: 0.9134, Time: 16.55s
Epoch 337, Loss: 0.3494, Accuracy: 0.9180, Time: 16.49s
Epoch 338, Loss: 0.3535, Accuracy: 0.9184, Time: 16.64s
Epoch 339, Loss: 0.3293, Accuracy: 0.9231, Time: 16.55s
Epoch 340, Loss: 0.3683, Accuracy: 0.9169, Time: 16.48s
Epoch 341, Loss: 0.3423, Accuracy: 0.9191, Time: 16.43s
Epoch 342, Loss: 0.3398, Accuracy: 0.9199, Time: 16.57s
Epoch 343, Loss: 0.3318, Accuracy: 0.9241, Time: 16.43s
Epoch 344, Loss: 0.3634, Accuracy: 0.9200, Time: 16.47s
Epoch 345, Loss: 0.4048, Accuracy: 0.9073, Time: 16.68s
Epoch 346, Loss: 0.3487, Accuracy: 0.9193, Time: 16.76s
Epoch 347, Loss: 0.3787, Accuracy: 0.9161, Time: 16.53s
Epoch 348, Loss: 0.3878, Accuracy: 0.9137, Time: 16.48s
Epoch 349, Loss: 0.3780, Accuracy: 0.9156, Time: 16.44s
Epoch 350, Loss: 0.3410, Accuracy: 0.9226, Time: 16.50s
Epoch 351, Loss: 0.3301, Accuracy: 0.9255, Time: 16.53s
Epoch 352, Loss: 0.3493, Accuracy: 0.9205, Time: 16.65s
Epoch 353, Loss: 0.3504, Accuracy: 0.9208, Time: 16.70s
Epoch 354, Loss: 0.3570, Accuracy: 0.9197, Time: 16.47s
Epoch 355, Loss: 0.3300, Accuracy: 0.9247, Time: 16.70s
Epoch 356, Loss: 0.3678, Accuracy: 0.9165, Time: 16.51s
Epoch 357, Loss: 0.3783, Accuracy: 0.9134, Time: 16.45s
Epoch 358, Loss: 0.3568, Accuracy: 0.9166, Time: 16.60s
